english_word,bahasa_translation,example_usage,pronunciation
client,klien,Meet with the client.,ˈklaɪənt
project,proyek,Work on the project.,ˈprɒdʒekt
deadline,batas waktu,Meet the deadline.,ˈdedlaɪn
game,permainan,Play a fun game.,ɡeɪm
show,pertunjukan,The show was great.,ʃəʊ
concert,konser,Attend the concert.,ˈkɒnsət
channel,saluran,Change the channel.,ˈtʃænl
post,posting,Like my new post.,pəʊst
comment,komentar,Leave a comment.,ˈkɒment
profile,profil,Update your profile.,ˈprəʊfaɪl
follow,mengikuti,Follow me on Instagram.,ˈfɒləʊ
experiment,percobaan,Do the experiment.,ɪkˈsperɪmənt
research,penelitian,Conduct research.,rɪˈsɜːtʃ
theory,teori,Test the theory.,ˈθɪəri
analysis,analisis,Complete the analysis.,əˈnæləsɪs
discovery,penemuan,Make a discovery.,dɪˈskʌvəri
pillow,bantal,Get a new pillow.,ˈpɪləʊ
blanket,selimut,Use a warm blanket.,ˈblæŋkɪt
shelf,rak,Put it on the shelf.,ʃelf
drawer,laci,Open the drawer.,drɔː
clock,jam,Check the clock.,klɒk
egg,telur,Boil the egg.,eɡ
luggage,bagasi,Pack your luggage.,ˈlʌɡɪdʒ
map,peta,Check the map.,mæp
destination,tujuan,Reach the destination.,ˌdestɪˈneɪʃn
finger,jari,Cut your fingernails.,ˈfɪŋɡə
toe,jari kaki,Stub my toe.,təʊ
back,punggung,My back hurts.,bæk
chest,dada,Take deep breaths.,tʃest
neck,leher,Turn your neck.,nek
sky,langit,Look at the sky.,skaɪ
star,bintang,Count the stars.,stɑː
moon,bulan,Full moon tonight.,muːn
flight,penerbangan,Book a flight.,flaɪt
journey,perjalanan,Long journey ahead.,ˈdʒɜːni
route,rute,Take this route.,ruːt
traffic,lalu lintas,Heavy traffic today.,ˈtræfɪk
parking,parkir,Find parking space.,ˈpɑːkɪŋ
nervous,gugup,Get nervous.,ˈnɜːvəs
calm,tenang,Stay calm.,kɑːm
stressed,stres,Feel stressed.,strest
hundred,seratus,I need one hundred copies.,ˈhʌndrəd
thousand,seribu,A thousand thanks.,ˈθaʊznd
million,juta,The city has a million people.,ˈmɪljən
first,pertama,He came in first place.,fɜːst
second,kedua,This is my second attempt.,ˈsekənd
break a leg,semoga berhasil,Break a leg at your performance!,breɪk ə leɡ
piece of cake,sangat mudah,The test was a piece of cake.,piːs əv keɪk
under the weather,tidak enak badan,I'm feeling under the weather.,ˈʌndə ðə ˈweðə
time flies,waktu berlalu cepat,Time flies when you're having fun.,taɪm flaɪz
cost an arm and a leg,sangat mahal,That car costs an arm and a leg.,kɒst ən ɑːm ænd ə leɡ
grandson,cucu laki-laki,My grandson is five years old.,ˈɡrænsʌn
granddaughter,cucu perempuan,His granddaughter plays piano.,ˈɡrændɔːtə
nephew,keponakan laki-laki,My nephew starts school this year.,ˈnefjuː
niece,keponakan perempuan,My niece loves to dance.,niːs
in-law,menantu,My mother-in-law is visiting.,ɪn lɔː
north,utara,Drive north for two miles.,nɔːθ
south,selatan,The beach is south of here.,saʊθ
east,timur,The sun rises in the east.,iːst
west,barat,The sun sets in the west.,west
nearby,dekat,There's a store nearby.,ˈnɪəbaɪ
wrench,kunci pas,Use the wrench to tighten it.,rentʃ
pliers,tang,These pliers are rusty.,ˈplaɪəz
gram,gram,Add fifty grams of sugar.,ɡræm
inch,inci,The screen is 15 inches wide.,ɪntʃ
pound,pon,I lost five pounds.,paʊnd
dizzy,pusing,I feel dizzy today.,ˈdɪzi
nausea,mual,She has nausea after eating.,ˈnɔːziə
rash,ruam,The rash is itchy.,ræʃ
swelling,bengkak,There's swelling in my ankle.,ˈswelɪŋ
notebook,buku tulis,I need a new notebook.,ˈnəʊtbʊk
backpack,tas punggung,My backpack is heavy.,ˈbækpæk
pencil case,tempat pensil,Put it in your pencil case.,ˈpensəl keɪs
calculator,kalkulator,Use a calculator for math.,ˈkælkjʊleɪtə
textbook,buku pelajaran,Bring your textbook tomorrow.,ˈtekstbʊk
appetizer,hidangan pembuka,Let's order an appetizer.,ˈæpɪtaɪzə
main course,hidangan utama,The main course was delicious.,meɪn kɔːs
beverage,minuman,Choose your beverage.,ˈbevərɪdʒ
check,bon,"Can we have the check, please?",tʃek
scanner,pemindai,Use the scanner for documents.,ˈskænə
shredder,penghancur kertas,Put it in the shredder.,ˈʃredə
photocopier,mesin fotokopi,The photocopier is broken.,ˈfəʊtəʊkɒpiə
filing cabinet,lemari arsip,Check the filing cabinet.,ˈfaɪlɪŋ ˈkæbɪnət
rake,garu,Use the rake for leaves.,reɪk
shovel,sekop,Get the shovel from the shed.,ˈʃʌvl
hose,selang,Water the plants with the hose.,həʊz
pruner,pemangkas,These pruners are sharp.,ˈpruːnə
watering can,penyiram tanaman,Fill the watering can.,ˈwɔːtərɪŋ kæn
couch,sofa,Sit on the couch.,kaʊtʃ
armchair,kursi berlengan,The armchair is comfortable.,ˈɑːmtʃeə
dresser,lemari pakaian,Put clothes in the dresser.,ˈdresə
nightstand,meja samping tempat tidur,Place the lamp on the nightstand.,ˈnaɪtstænd
bookshelf,rak buku,Organize the bookshelf.,ˈbʊkʃelf
open,buka,Open the door.,ˈəʊpən
close,tutup,Close the window.,kləʊz
push,dorong,Push the button.,pʊʃ
pull,tarik,Pull the handle.,pʊl
lift,angkat,Lift the box carefully.,lɪft
helmet,helm,Wear your helmet.,ˈhelmɪt
goggles,kacamata renang,Don't forget your goggles.,ˈɡɒɡlz
mat,matras,Roll out the yoga mat.,mæt
whistle,peluit,The referee blew the whistle.,ˈwɪsl
goal post,gawang,The ball hit the goal post.,ɡəʊl pəʊst
no problem,tidak masalah,"No problem, I'll help.",nəʊ ˈprɒbləm
get well soon,semoga lekas sembuh,Get well soon!,ɡet wel suːn
take care,hati-hati,"Take care, see you tomorrow.",teɪk keə
learn,belajar,Learn something new every day.,lɜːn
teach,mengajar,She teaches English.,tiːtʃ
grow,tumbuh,Plants grow in sunlight.,ɡrəʊ
improve,meningkatkan,Try to improve your skills.,ɪmˈpruːv
achieve,mencapai,You can achieve your goals.,əˈtʃiːv
interesting,menarik,This book is interesting.,ˈɪntrəstɪŋ
boring,membosankan,The lecture was boring.,ˈbɔːrɪŋ
exciting,menyenangkan,What an exciting game!,ɪkˈsaɪtɪŋ
dangerous,berbahaya,This road is dangerous.,ˈdeɪndʒərəs
opportunity,kesempatan,Take this opportunity.,ˌɒpəˈtjuːnəti
success,kesuksesan,I wish you success.,səkˈses
failure,kegagalan,Learn from failure.,ˈfeɪljə
experience,pengalaman,Share your experience.,ɪkˈspɪəriəns
knowledge,pengetahuan,Increase your knowledge.,ˈnɒlɪdʒ
nowadays,saat ini,"Nowadays, everyone has a phone.",ˈnaʊədeɪz
recently,baru-baru ini,I saw him recently.,ˈriːsntli
sometime,suatu saat,Visit me sometime.,ˈsʌmtaɪm
eventually,akhirnya,You'll succeed eventually.,ɪˈventʃuəli
immediately,segera,Come here immediately.,ɪˈmiːdiətli
of course,tentu saja,Of course I'll help.,əv kɔːs
by the way,ngomong-ngomong,"By the way, I saw John.",baɪ ðə weɪ
in fact,sebenarnya,"In fact, he's quite nice.",ɪn fækt
as usual,seperti biasa,"He's late, as usual.",æz ˈjuːʒʊəl
never mind,tidak apa-apa,"Never mind, I'll do it.",ˈnevə maɪnd
pasta,pasta,Let's have pasta for dinner.,ˈpæstə
pizza,pizza,Order a pizza tonight.,ˈpiːtsə
hamburger,hamburger,I'll have a hamburger.,ˈhæmbɜːɡə
sushi,sushi,Do you like sushi?,ˈsuːʃi
curry,kari,The curry is spicy.,ˈkʌri
update,pembaruan,Install the latest update.,ˈʌpdeɪt
backup,cadangan,Make a backup of your files.,ˈbækʌp
browser,peramban,Use a different browser.,ˈbraʊzə
investment,investasi,Make a wise investment.,ɪnˈvestmənt
profit,keuntungan,The business made a profit.,ˈprɒfɪt
budget,anggaran,Stay within budget.,ˈbʌdʒɪt
strategy,strategi,Develop a new strategy.,ˈstrætədʒi
customer,pelanggan,The customer is always right.,ˈkʌstəmə
nutrition,nutrisi,Good nutrition is important.,njuːˈtrɪʃn
vitamin,vitamin,Take your vitamins.,ˈvɪtəmɪn
treatment,pengobatan,Start the treatment.,ˈtriːtmənt
itinerary,rencana perjalanan,Check the itinerary.,aɪˈtɪnərəri
sightseeing,wisata,Go sightseeing tomorrow.,ˈsaɪtsiːɪŋ
souvenir,oleh-oleh,Buy some souvenirs.,ˌsuːvəˈnɪə
accommodation,akomodasi,Book your accommodation.,əˌkɒməˈdeɪʃn
vacuum,penyedot debu,Use the vacuum cleaner.,ˈvækjuəm
iron,setrika,Iron your clothes.,ˈaɪən
mop,pel,Mop the floor.,mɒp
broom,sapu,Use the broom to sweep.,bruːm
dustbin,tempat sampah,Empty the dustbin.,ˈdʌstbɪn
friend request,permintaan pertemanan,Accept the friend request.,frend rɪˈkwest
status update,pembaruan status,Post a status update.,ˈsteɪtəs ˈʌpdeɪt
notification,pemberitahuan,Check your notifications.,ˌnəʊtɪfɪˈkeɪʃn
timeline,linimasa,Scroll through the timeline.,ˈtaɪmlaɪn
hashtag,tagar,Use this hashtag.,ˈhæʃtæɡ
assignment,tugas,Complete your assignment.,əˈsaɪnmənt
lecture,kuliah,Attend the lecture.,ˈlektʃə
exam,ujian,Study for the exam.,ɪɡˈzæm
curriculum,kurikulum,Follow the curriculum.,kəˈrɪkjʊləm
diploma,ijazah,Receive your diploma.,dɪˈpləʊmə
ecosystem,ekosistem,Protect the ecosystem.,ˈiːkəʊsɪstəm
climate,iklim,The climate is changing.,ˈklaɪmət
species,spesies,Endangered species.,ˈspiːʃiːz
habitat,habitat,Natural habitat.,ˈhæbɪtæt
environment,lingkungan,Save the environment.,ɪnˈvaɪrənmənt
commute,perjalanan,Daily commute to work.,kəˈmjuːt
departure,keberangkatan,Check departure time.,dɪˈpɑːtʃə
arrival,kedatangan,Expected arrival time.,əˈraɪvl
terminal,terminal,Go to terminal three.,ˈtɜːmɪnl
cart,keranjang,Add to cart.,kɑːt
checkout,pembayaran,Proceed to checkout.,ˈtʃekaʊt
shipping,pengiriman,Free shipping worldwide.,ˈʃɪpɪŋ
tracking,pelacakan,Check order tracking.,ˈtrækɪŋ
accident,kecelakaan,Report the accident.,ˈæksɪdənt
danger,bahaya,Stay away from danger.,ˈdeɪndʒə
warning,peringatan,Read the warning signs.,ˈwɔːnɪŋ
actor,aktor,My favorite actor.,ˈæktə
actress,aktris,She's a famous actress.,ˈæktrəs
director,sutradara,Who's the director?,dəˈrektə
plot,alur cerita,Interesting plot twist.,plɒt
review,ulasan,Read the movie review.,rɪˈvjuː
balance,saldo,Check your balance.,ˈbæləns
transfer,transfer,Make a bank transfer.,ˈtrænsfɜː
withdraw,tarik tunai,Withdraw money.,wɪðˈdrɔː
deposit,setor,Deposit the check.,dɪˈpɒzɪt
statement,laporan rekening,Monthly bank statement.,ˈsteɪtmənt
quickly,dengan cepat,Do it quickly.,ˈkwɪkli
carefully,dengan hati-hati,Drive carefully.,ˈkeəfəli
slowly,dengan lambat,"Speak slowly, please.",ˈsləʊli
usually,biasanya,I usually walk.,ˈjuːʒuəli
definitely,pasti,I'll definitely come.,ˈdefɪnətli
crash,macet,The computer crashed.,kræʃ
freeze,beku,Screen is frozen.,friːz
error,kesalahan,Error message appeared.,ˈerə
restart,mulai ulang,Restart your computer.,ˈriːstɑːt
priority,prioritas,Set your priorities.,praɪˈɒrəti
delay,penundaan,Avoid delays.,dɪˈleɪ
reminder,pengingat,Set a reminder.,rɪˈmaɪndə
moisturizer,pelembab,Apply moisturizer.,ˈmɔɪstʃəraɪzə
sunscreen,tabir surya,Use sunscreen daily.,ˈsʌnskriːn
deodorant,deodoran,Apply deodorant.,diːˈəʊdərənt
perfume,parfum,Nice perfume.,ˈpɜːfjuːm
lotion,losion,Body lotion.,ˈləʊʃn
resume,daftar riwayat hidup,Update your resume.,ˈrezjumeɪ
interview,wawancara,Job interview today.,ˈɪntəvjuː
promotion,promosi,Get a promotion.,prəˈməʊʃn
skills,keterampilan,Improve your skills.,skɪlz
weather,cuaca,Nice weather today.,ˈweðə
weekend,akhir pekan,Plans for weekend?,ˌwiːkˈend
holiday,liburan,Happy holiday!,ˈhɒlədeɪ
news,berita,Heard the news?,njuːz
thesis,tesis,Writing my thesis.,ˈθiːsɪs
reference,referensi,Add references.,ˈrefrəns
citation,kutipan,Proper citation format.,saɪˈteɪʃn
abstract,abstrak,Write the abstract.,ˈæbstrækt
conclusion,kesimpulan,Final conclusion.,kənˈkluːʒn
repair,perbaikan,Need repairs.,rɪˈpeə
plumber,tukang ledeng,Call the plumber.,ˈplʌmə
electrician,tukang listrik,Contact an electrician.,ɪˌlekˈtrɪʃn
leak,kebocoran,Fix the leak.,liːk
maintenance,pemeliharaan,Regular maintenance.,ˈmeɪntənəns
stop,pemberhentian,Next stop.,stɒp
fare,ongkos,Transport fare.,feə
install,pasang,Install the app.,ɪnˈstɔːl
settings,pengaturan,Change settings.,ˈsetɪŋz
storage,penyimpanan,Storage full.,ˈstɔːrɪdʒ
tradition,tradisi,Cultural tradition.,trəˈdɪʃn
festival,festival,Annual festival.,ˈfestɪvl
ceremony,upacara,Wedding ceremony.,ˈserəməni
custom,adat,Local customs.,ˈkʌstəm
workspace,ruang kerja,Set up your workspace.,ˈwɜːkspeɪs
connection,koneksi,Check your connection.,kəˈnekʃn
virtual,virtual,Virtual meeting.,ˈvɜːtʃuəl
flexible,fleksibel,Flexible hours.,ˈfleksəbl
story,cerita,Post a story.,ˈstɔːri
follower,pengikut,New follower.,ˈfɒləʊə
trending,tren,Trending topic.,ˈtrendɪŋ
viral,viral,Video went viral.,ˈvaɪrəl
transaction,transaksi,Payment transaction.,trænˈzækʃn
secure,aman,Secure payment.,sɪˈkjʊə
mute,bisukan,Mute your microphone.,mjuːt
unmute,suarakan,Please unmute.,ʌnˈmjuːt
background,latar,Virtual background.,ˈbækɡraʊnd
connect,sambung,Connect to call.,kəˈnekt
device,perangkat,Smart device.,dɪˈvaɪs
control,kontrol,Remote control.,kənˈtrəʊl
sensor,sensor,Motion sensor.,ˈsensə
automate,otomatis,Automate lights.,ˈɔːtəmeɪt
system,sistem,Security system.,ˈsɪstəm
stress,stres,Manage stress.,stres
anxiety,kecemasan,Reduce anxiety.,æŋˈzaɪəti
wellness,kesejahteraan,Mental wellness.,ˈwelnəs
therapy,terapi,Seek therapy.,ˈθerəpi
mindful,sadar,Be mindful.,ˈmaɪndfʊl
pollution,polusi,Air pollution.,pəˈluːʃn
recycle,daur ulang,Recycle plastic.,riːˈsaɪkl
sustainable,berkelanjutan,Sustainable living.,səˈsteɪnəbl
waste,sampah,Reduce waste.,weɪst
headline,berita utama,Today's headlines.,ˈhedlaɪn
live,langsung,Live coverage.,laɪv
complaint,keluhan,File a complaint.,kəmˈpleɪnt
support,dukungan,Technical support.,səˈpɔːt
refund,pengembalian dana,Request refund.,ˈriːfʌnd
feedback,umpan balik,Give feedback.,ˈfiːdbæk
booking,pemesanan,Hotel booking.,ˈbʊkɪŋ
package,paket,Holiday package.,ˈpækɪdʒ
vacancy,lowongan,Job vacancy.,ˈveɪkənsi
application,lamaran,Job application.,ˌæplɪˈkeɪʃn
qualified,berkualifikasi,Qualified candidate.,ˈkwɒlɪfaɪd
position,posisi,Available position.,pəˈzɪʃn
expense,pengeluaran,Track expenses.,ɪkˈspens
income,pendapatan,Monthly income.,ˈɪnkʌm
ride,tumpangan,Book a ride.,raɪd
location,lokasi,Share location.,ləʊˈkeɪʃn
pickup,penjemputan,Pickup point.,ˈpɪkʌp
issue,masalah,Technical issue.,ˈɪʃuː
broken,rusak,Phone is broken.,ˈbrəʊkən
missing,hilang,Missing item.,ˈmɪsɪŋ
stuck,macet,Stuck in traffic.,stʌk
fix,perbaiki,Fix the problem.,fɪks
solve,selesaikan,Solve the issue.,sɒlv
advice,saran,Seek advice.,ədˈvaɪs
birthday,ulang tahun,Happy birthday celebration.,ˈbɜːθdeɪ
wedding,pernikahan,Attend the wedding.,ˈwedɪŋ
reunion,reuni,Family reunion dinner.,riːˈjuːniən
graduation,wisuda,Graduation ceremony.,ˌɡrædʒuˈeɪʃn
anniversary,ulang tahun pernikahan,Wedding anniversary.,ˌænɪˈvɜːsəri
streaming,streaming,Video streaming service.,ˈstriːmɪŋ
subscription,langganan,Monthly subscription.,səbˈskrɪpʃn
login,masuk,Login to your account.,ˈlɒɡɪn
bake,memanggang,Bake a cake.,beɪk
chop,mencincang,Chop the vegetables.,tʃɒp
fry,menggoreng,Fry the chicken.,fraɪ
blend,memblender,Blend the smoothie.,blend
grill,memanggang,Grill the fish.,ɡrɪl
fitness,kebugaran,Fitness goals.,ˈfɪtnəs
career,karier,Career development.,kəˈrɪə
education,pendidikan,Further education.,ˌedʒuˈkeɪʃn
relationship,hubungan,Build relationships.,rɪˈleɪʃnʃɪp
typo,salah ketik,Typing mistake.,ˈtaɪpəʊ
misunderstand,salah paham,Misunderstand instructions.,ˌmɪsʌndəˈstænd
forget,lupa,Forget appointment.,fəˈɡet
wrong,salah,Wrong direction.,rɒŋ
drizzle,gerimis,Light drizzle.,ˈdrɪzl
forecast,ramalan cuaca,Weather forecast.,ˈfɔːkɑːst
temperature,suhu,High temperature.,ˈtemprətʃə
seasonal,musiman,Seasonal changes.,ˈsiːzənl
brand,merek,Favorite brand.,brænd
quality,kualitas,Good quality.,ˈkwɒləti
bargain,tawar-menawar,Look for bargains.,ˈbɑːɡən
compare,membandingkan,Compare prices.,kəmˈpeə
recommend,merekomendasikan,Recommend products.,ˌrekəˈmend
practice,latihan,Regular practice.,ˈpræktɪs
memorize,menghafal,Memorize vocabulary.,ˈmeməraɪz
understand,memahami,Understand concept.,ˌʌndəˈstænd
adventure,petualangan,New adventure.,ədˈventʃə
explore,menjelajahi,Explore the city.,ɪkˈsplɔː
discover,menemukan,Discover places.,dɪˈskʌvə
memory,kenangan,Travel memories.,ˈmeməri
diet,pola makan,Healthy diet.,ˈdaɪət
hydrate,hidrasi,Stay hydrated.,haɪˈdreɪt
checkup,pemeriksaan,Regular checkup.,ˈtʃekʌp
organize,mengatur,Organize tasks.,ˈɔːɡənaɪz
leadership,kepemimpinan,Leadership skills.,ˈliːdəʃɪp
teamwork,kerja tim,Good teamwork.,ˈtiːmwɜːk
reliable,dapat diandalkan,Reliable worker.,rɪˈlaɪəbl
renovate,merenovasi,Renovate kitchen.,ˈrenəveɪt
decorate,mendekorasi,Decorate room.,ˈdekəreɪt
formal,formal,Formal language.,ˈfɔːml
casual,santai,Casual conversation.,ˈkæʒuəl
direct,langsung,Direct approach.,dəˈrekt
polite,sopan,Polite manner.,pəˈlaɪt
friendly,ramah,Friendly tone.,ˈfrendli
growth,pertumbuhan,Personal growth.,ɡrəʊθ
mindset,pola pikir,Positive mindset.,ˈmaɪndset
confidence,kepercayaan diri,Build confidence.,ˈkɒnfɪdəns
motivation,motivasi,Stay motivated.,ˌməʊtɪˈveɪʃn
course,kursus,Online course.,kɔːs
webinar,webinar,Join the webinar.,ˈwebɪnɑː
tutorial,tutorial,Video tutorial.,tjuːˈtɔːriəl
certificate,sertifikat,Course certificate.,səˈtɪfɪkət
signal,sinyal,Poor signal.,ˈsɪɡnəl
roaming,roaming,Data roaming.,ˈrəʊmɪŋ
coverage,jangkauan,Network coverage.,ˈkʌvərɪdʒ
meditation,meditasi,Morning meditation.,ˌmedɪˈteɪʃn
relaxation,relaksasi,Relaxation time.,ˌriːlækˈseɪʃn
hobby,hobi,Personal hobby.,ˈhɒbi
journal,jurnal,Writing journal.,ˈdʒɜːnl
workout,latihan,Daily workout.,ˈwɜːkaʊt
recipe,resep,Follow recipe.,ˈresəpi
ingredient,bahan,Fresh ingredients.,ɪnˈɡriːdiənt
measure,mengukur,Measure ingredients.,ˈmeʒə
season,membumbui,Season well.,ˈsiːzn
taste,mencicipi,Taste test.,teɪst
presentation,presentasi,Give presentation.,ˌpreznˈteɪʃn
campaign,kampanye,Marketing campaign.,kæmˈpeɪn
content,konten,Create content.,ˈkɒntent
audience,audiens,Target audience.,ˈɔːdiəns
analytics,analitik,Check analytics.,ˌænəˈlɪtɪks
insurance,asuransi,Life insurance.,ɪnˈʃʊərəns
retirement,pensiun,Retirement plan.,rɪˈtaɪəmənt
organic,organik,Organic food.,ɔːˈɡænɪk
minimalist,minimalis,Minimalist living.,ˈmɪnɪməlɪst
eco-friendly,ramah lingkungan,Eco-friendly products.,ˈiːkəʊ ˈfrendli
privacy,privasi,Privacy settings.,ˈprɪvəsi
security,keamanan,Security measure.,sɪˈkjʊərəti
protection,perlindungan,Virus protection.,prəˈtekʃn
dating,kencan,Online dating.,ˈdeɪtɪŋ
partner,pasangan,Life partner.,ˈpɑːtnə
commitment,komitmen,Long-term commitment.,kəˈmɪtmənt
boundary,batasan,Personal boundaries.,ˈbaʊndri
communication,komunikasi,Open communication.,kəˌmjuːnɪˈkeɪʃn
apartment,apartemen,City apartment.,əˈpɑːtmənt
neighborhood,lingkungan,Local neighborhood.,ˈneɪbəhʊd
lifestyle,gaya hidup,Urban lifestyle.,ˈlaɪfstaɪl
convenience,kenyamanan,Modern convenience.,kənˈviːniəns
hygiene,kebersihan,Personal hygiene.,ˈhaɪdʒiːn
precaution,pencegahan,Safety precaution.,prɪˈkɔːʃn
prevention,pencegahan,Disease prevention.,prɪˈvenʃn
gathering,pertemuan,Social gathering.,ˈɡæðərɪŋ
event,acara,Community event.,ɪˈvent
party,pesta,Birthday party.,ˈpɑːti
celebration,perayaan,Special celebration.,ˌselɪˈbreɪʃn
meetup,pertemuan,Group meetup.,ˈmiːtʌp
planning,perencanaan,Time planning.,ˈplænɪŋ
efficiency,efisiensi,Work efficiency.,ɪˈfɪʃnsi
organization,pengaturan,Time organization.,ˌɔːɡənaɪˈzeɪʃn
solution,solusi,Find solution.,səˈluːʃn
alternative,alternatif,Alternative option.,ɔːlˈtɜːnətɪv
decision,keputusan,Make decision.,dɪˈsɪʒn
headset,headset,Wireless headset.,ˈhedset
webcam,kamera web,HD webcam.,ˈwebkæm
microphone,mikrofon,USB microphone.,ˈmaɪkrəfəʊn
desk,meja kerja,Adjustable desk.,desk
monitor,monitor,External monitor.,ˈmɒnɪtə
electronics,elektronik,Electronics section.,ɪˌlekˈtrɒnɪks
fashion,mode,Fashion items.,ˈfæʃn
groceries,bahan makanan,Online groceries.,ˈɡrəʊsəriz
appliances,peralatan,Home appliances.,əˈplaɪənsɪz
accessories,aksesoris,Phone accessories.,əkˈsesəriz
caption,keterangan,Photo caption.,ˈkæpʃn
influencer,influencer,Social influencer.,ˈɪnfluənsə
engagement,keterlibatan,User engagement.,ɪnˈɡeɪdʒmənt
thermostat,termostat,Smart thermostat.,ˈθɜːməstæt
lighting,pencahayaan,Smart lighting.,ˈlaɪtɪŋ
doorbell,bel pintu,Video doorbell.,ˈdɔːbel
cardio,kardio,Cardio workout.,ˈkɑːdɪəʊ
strength,kekuatan,Strength training.,streŋθ
yoga,yoga,Morning yoga.,ˈjəʊɡə
stretching,peregangan,Stretching exercises.,ˈstretʃɪŋ
pilates,pilates,Pilates class.,pɪˈlɑːtiːz
bandwidth,bandwidth,Internet bandwidth.,ˈbændwɪdθ
router,router,Wireless router.,ˈruːtə
ethernet,ethernet,Ethernet cable.,ˈiːθənet
protocol,protokol,Network protocol.,ˈprəʊtəkɒl
milestone,tonggak,Project milestone.,ˈmaɪlstəʊn
deliverable,hasil kerja,Project deliverable.,dɪˈlɪvərəbl
scope,ruang lingkup,Project scope.,skəʊp
stakeholder,pemangku kepentingan,Project stakeholder.,ˈsteɪkhəʊldə
coding,pemrograman,Coding skills.,ˈkəʊdɪŋ
design,desain,Graphic design.,dɪˈzaɪn
editing,penyuntingan,Video editing.,ˈedɪtɪŋ
programming,pemrograman,Computer programming.,ˈprəʊɡræmɪŋ
diversity,keberagaman,Workplace diversity.,daɪˈvɜːsəti
inclusion,inklusi,Inclusive environment.,ɪnˈkluːʒn
collaboration,kolaborasi,Team collaboration.,kəˌlæbəˈreɪʃn
culture,budaya,Company culture.,ˈkʌltʃə
values,nilai-nilai,Corporate values.,ˈvæljuːz
firewall,firewall,Network firewall.,ˈfaɪəwɔːl
antivirus,antivirus,Antivirus software.,ˌæntiˈvaɪrəs
encryption,enkripsi,Data encryption.,ɪnˈkrɪpʃn
authentication,autentikasi,Two-factor authentication.,ɔːˌθentɪˈkeɪʃn
malware,malware,Malware protection.,ˈmælweə
transportation,transportasi,Transportation options.,ˌtrænspɔːˈteɪʃn
cuisine,masakan,International cuisine.,kwɪˈziːn
ambiance,suasana,Restaurant ambiance.,ˈæmbɪəns
service,layanan,Table service.,ˈsɜːvɪs
playlist,daftar putar,Music playlist.,ˈpleɪlɪst
recommendation,rekomendasi,App recommendation.,ˌrekəmenˈdeɪʃn
checklist,daftar periksa,Daily checklist.,ˈtʃeklɪst
planner,perencana,Digital planner.,ˈplænə
organizer,pengatur,Life organizer.,ˈɔːɡənaɪzə
certification,sertifikasi,Professional certification.,səˌtɪfɪˈkeɪʃn
training,pelatihan,Skills training.,ˈtreɪnɪŋ
workshop,lokakarya,Professional workshop.,ˈwɜːkʃɒp
mentor,mentor,Career mentor.,ˈmentɔː
networking,jejaring,Professional networking.,ˈnetwɜːkɪŋ
